VCF0013  {0.0: '0. No Post-election interview data', 1.0: '1. Post-election interview data present'}
mother_occupation_a  {0.0: "0. Mother wasn't living; not raised by mother; no", 1.0: '1. Professional, technical and kindred workers', 2.0: '2. Managers, officials and proprietors exc. farm', 3.0: '3. Clerical and kindred workers, sales workers', 4.0: '4. Craftsmen, foremen and kindred workers and', 5.0: '5. Operative and kindred workers', 6.0: '6. Service workers, including private household', 7.0: '7. Laborers, except farm', 8.0: '8. Farm laborers and foremen; farmers; owners,', 9.0: '9. Occupation not reported (NA); members of armed'}
mother_occupation_b  {0.0: "00. Mother wasn't living; not raised by mother; no", 1.0: '01. Professional, technical and kindred workers', 2.0: '02. Managers and administrators, except farm', 3.0: '03. Sales workers', 4.0: '04. Clerical and kindred workers', 5.0: '05. Craftsmen and kindred workers', 6.0: '06. Operatives, except transport', 7.0: '07. Transport equipment operatives', 8.0: '08. Laborers, except farm', 9.0: '09. Farmers (owners and tenants), farm managers,', 10.0: '10. Farm foreman, farm laborer (wage-worker)', 11.0: '11. Service workers, except private household and', 12.0: '12. Government protective services: firemen; police;', 13.0: '13. Private household workers', 14.0: '14. Member of armed forces', 15.0: '15. Not in labor force', 98.0: '98. DK', 99.0: '99. NA'}
mother_occupation_c  {0.0: "00. Mother wasn't living; not raised by mother;", 1.0: '01. Executive, administrative and managerial', 2.0: '02. Professional speciality occupations', 3.0: '03. Technicians and related support occupations', 4.0: '04. Sales occupation', 5.0: '05. Administrative support, including clerical', 6.0: '06. Private household', 7.0: '07. Protective service', 8.0: '08. Service exc. protective and household', 9.0: '09. Farming, forestry and fishing occupations', 10.0: '10. Precision production, craft and repair occupations', 11.0: '11. Machine operators, assemblers and inspectors', 12.0: '12. Transportation and material moving occupations', 13.0: '13. Handler, equipment cleaners, helpers and laborers', 14.0: '14. Member of armed forces', 15.0: '15. Not in labor force', 98.0: '98. DK', 99.0: '99. NA'}
occupation71  {0.0: '00. DK; NA; honworking homemaker/student; R has never'}
occupation14  {0.0: '00. DK; NA; honworking homemaker/student; R has never', 1.0: '1. Executive, administrative and managerial', 2.0: '2. Professional specialty occupations', 3.0: '3. Technicians and related support occupations', 4.0: '4. Sales occupation', 5.0: '5. Administrative support, including clerical', 6.0: '6. Private household', 7.0: '7. Protective service', 8.0: '8. Service except protective and household', 9.0: '9. Farming, forestry and fishing occupations', 10.0: '10. Precision production, craft and repair occupations', 11.0: '11. Machine operators, assemblers and inspectors', 12.0: '12. Transportation and material moving occupations', 13.0: '13. Handlers, equipment cleaners, helpers and laborers', 14.0: '14. Member of armed forces'}
worried_job  {0.0: '0. R is nonworking homemaker or student; R is', 1.0: '1. A lot', 3.0: '3. Somewhat', 5.0: '5. Not much at all', 8.0: '8. DK; refused', 9.0: '9. NA'}
laid_off_last6moths  {0.0: '0. R is not currently working', 1.0: '1. Yes', 5.0: '5. No', 8.0: '8. DK', 9.0: '9. NA'}
working_reduced  {0.0: '0. R is not currently working', 1.0: '1. Yes', 5.0: '5. No', 8.0: '8. DK', 9.0: '9. NA'}
therm_Dem  {97.0: '97. 97-100 Degrees', 98.0: '98. DK (exc. 1964-1968: see note preceding VCF0201)', 99.0: '99. NA; no Post IW; form III,IV (1972)'}
therm_Rep  {97.0: '97. 97-100 Degrees', 98.0: '98. DK (exc. 1964-1968: see note preceding VCF0201)', 99.0: '99. NA; no Post IW; form III,IV (1972)'}
therm_Protestants  {97.0: '97. 97-100 Degrees', 98.0: '98. DK (exc. 1964-1968: see note preceding VCF0201)', 99.0: '99. NA; no Post IW; form III,IV (1972)'}
therm_Catholics  {97.0: '97. 97-100 Degrees', 98.0: '98. DK (exc. 1964-1968: see note preceding VCF0201)', 99.0: '99. NA; no Post IW; form III,IV (1972)'}
therm_Jews  {97.0: '97. 97-100 Degrees', 98.0: '98. DK (exc. 1964-1968: see note preceding VCF0201)', 99.0: '99. NA; no Post IW; form III,IV (1972)'}
therm_Blacks  {97.0: '97. 97-100 Degrees', 98.0: '98. DK  (exc. 1964-1968: see VCF0201 note)', 99.0: '99. NA; no Post IW; form III,IV (1972); breakoff, sufficient partial (2016)'}
therm_Whites  {97.0: '97. 97-100 Degrees', 98.0: '98. DK  (exc. 1964-1968: see VCF0201 note)', 99.0: '99. NA; no Post IW; form III,IV (1972); breakoff, sufficient partial (2016)'}
therm_Southerners  {97.0: '97. 97-100 Degrees', 98.0: '98. DK (exc. 1964-1968: see note preceding VCF0201)', 99.0: '99. NA; no Post IW; form III,IV (1972)'}
therm_bigBusiness  {97.0: '97. 97-100 Degrees', 98.0: '98. DK (exc. 1964-1968: see note preceding VCF0201)', 99.0: '99. NA; no Post IW; form III,IV (1972)'}
therm_labor  {97.0: '97. 97-100 Degrees', 98.0: '98. DK (exc. 1964-1968: see note preceding VCF0201)', 99.0: '99. NA; no Post IW; form III,IV (1972)'}
therm_liberals  {97.0: '97. 97-100 Degrees', 98.0: '98. DK (exc. 1964-1968: see note preceding VCF0201)', 99.0: '99. NA; no Post IW; form III,IV (1972)'}
therm_conservatives  {97.0: '97. 97-100 Degrees', 98.0: '98. DK (exc. 1964-1968: see note preceding VCF0201)', 99.0: '99. NA; no Post IW; form III,IV (1972)'}
therm_military  {97.0: '97. 97-100 Degrees', 98.0: '98. DK (exc. 1964-1968: see note preceding VCF0201)', 99.0: '99. NA; no Post IW; form III,IV (1972)'}
therm_police  {97.0: '97. 97-100 Degrees', 98.0: '98. DK (exc. 1964-1968: see note preceding VCF0201)', 99.0: '99. NA; no Post IW; form III,IV (1972)'}
therm_blackMilitants  {97.0: '97. 97-100 Degrees', 98.0: '98. DK', 99.0: '99. NA; no Post IW; form III,IV (1972)'}
therm_civilRightsLea  {97.0: '97. 97-100 Degrees', 98.0: '98. DK', 99.0: '99. NA; no Post IW; form III,IV (1972)'}
therm_hispanics  {97.0: '97. 97-100 Degrees', 98.0: '98. DK  (exc. 1964-1968: see VCF0201 note)', 99.0: '99. NA; no Post IW; form III,IV (1972); breakoff, sufficient partial (2016)'}
therm_DemParty  {97.0: '97. 97-100 Degrees', 98.0: '98. DK', 99.0: '99. NA'}
therm_middleClass  {97.0: '97. 97-100 Degrees', 98.0: '98. DK', 99.0: '99. NA; no Post IW; form III,IV (1972)'}
therm_welfarePeople  {97.0: '97. 97-100 Degrees', 98.0: '98. DK', 99.0: '99. NA; no Post IW'}
therm_Indep  {97.0: '97. 97-100 Degrees', 98.0: '98. DK', 99.0: '99. NA'}
therm_Parties  {97.0: '97. 97-100 Degrees', 98.0: '98. DK', 99.0: '99. NA'}
therm_poor  {97.0: '97. 97-100 Degrees', 98.0: '98. DK', 99.0: '99. NA; no Post IW; form III,IV (1972)'}
therm_RepParty  {97.0: '97. 97-100 Degrees', 98.0: '98. DK', 99.0: '99. NA'}
therm_womensLibber  {97.0: '97. 97-100 Degrees', 98.0: '98. DK', 99.0: '99. NA; no Post IW; form III,IV (1972)'}
therm_young  {97.0: '97. 97-100 Degrees', 98.0: '98. DK', 99.0: '99. NA; no Post IW; form III,IV (1972)'}
therm_Asians  {97.0: '97. 97-100 Degrees', 98.0: '98. DK  (exc. 1964-1968: see VCF0201 note)', 99.0: '99. NA; no Post IW; form III,IV (1972); breakoff, sufficient partial (2016)'}
therm_Congress  {97.0: '97. 97-100 Degrees', 98.0: "98. DK; don't recognize", 99.0: '99. NA; no Post IW'}
therm_enviornmlists  {97.0: '97. 97-100 Degrees', 98.0: "98. DK; don't recognize", 99.0: '99. NA; no Post IW'}
therm_antiAbor  {97.0: '97. 97-100 Degrees', 98.0: "98. DK; don't recognize", 99.0: '99. NA; no Post IW; abbrev. Post IW (1984)'}
therm_fedGvn  {97.0: '97. 97-100 Degrees', 98.0: "98. DK; don't recognize", 99.0: '99. NA; no Post IW'}
therm_gays  {97.0: '97. 97-100 Degrees', 98.0: "98. DK; don't recognize", 99.0: '99. NA; no Post IW'}
therm_illegalAliens  {97.0: '97. 97-100 Degrees', 98.0: '98. DK  (exc. 1964-1968: see VCF0201 note)', 99.0: '99. NA; no Post IW; form III,IV (1972); breakoff, sufficient partial (2016)'}
therm_ChrFundament  {97.0: '97. 97-100 Degrees', 98.0: "98. DK; don't recognize", 99.0: '99. NA; no Post IW'}
therm_radicalStu  {97.0: '97. 97-100 Degrees', 98.0: "98. DK; don't recognize", 99.0: '99. NA; no Post IW; form III,IV (1972)'}
therm_farmers  {97.0: '97. 97-100 Degrees', 98.0: "98. DK; don't recognize", 99.0: '99. NA; no Post IW'}
therm_feminists  {97.0: '97. 97-100 Degrees', 98.0: '98. DK', 99.0: '99. NA; no Post IW'}
therm_avg_majParties  {998.0: '998. DK in VCF0218 or VCF0224', 999.0: '999. NA'}
therm_index_maParties  {2.0: '2. Most Republican', 50.0: '50. Neutral', 99.0: '99. Most Democratic', 998.0: '998. DK in VCF0218 or VCF0224', 999.0: '999. NA'}
Party_id7  {0.0: '0. DK; NA; other; refused to answer; no Pre IW', 1.0: '1. Strong Democrat', 2.0: '2. Weak Democrat', 3.0: '3. Independent - Democrat', 4.0: '4. Independent - Independent', 5.0: '5. Independent - Republican', 6.0: '6. Weak Republican', 7.0: '7. Strong Republican'}
VCF0302  {1.0: '1. Republican', 2.0: '2. Independent', 3.0: '3. No preference; none; neither', 4.0: '4. Other', 5.0: '5. Democrat', 8.0: '8. DK', 9.0: '9. NA; refused'}
Party_id3  {0.0: '0. DK; NA; other; refused to answer; no Pre IW', 1.0: '1. Democrats (including leaners)', 2.0: '2. Independents', 3.0: '3. Republicans (including leaners)'}
partisan_strength  {0.0: '0. DK; NA; other; refused to answer; no Pre IW', 1.0: '1. Independent or Apolitical', 2.0: '2. Leaning Independent', 3.0: '3. Weak Partisan', 4.0: '4. Strong Partisan'}
father_partyId  {0.0: '0. NA; no Pre IW; no Post IW; R had no', 1.0: '1. Democrat', 2.0: '2. Independent (some years also: shifted around)', 3.0: '3. Republican', 4.0: "4. Other; minor party; apolitical; never voted, didn't", 9.0: '9. DK (exc. 1988)'}
mother_partyId  {0.0: '0. NA; no Pre IW; no Post IW; R had no', 1.0: '1. Democrat', 2.0: '2. Independent', 3.0: '3. Republican', 4.0: "4. Other; minor party; apolitical; never voted, didn't", 9.0: '9. DK (exc. 1988)'}
father_poliIntere  {0.0: '0. NA; R had no father/father substitute', 1.0: "1. Didn't pay much attention", 2.0: '2. Somewhat interested', 3.0: '3. Very much interested', 9.0: '9. DK'}
mother_poliIntere  {0.0: '0. NA; R had no mother/mother substitute', 1.0: "1. Didn't pay much attention", 2.0: '2. Somewhat interested', 3.0: '3. Very much interested', 9.0: '9. DK'}
Interest_elections  {0.0: '0. NA; no Pre IW; version B (2008)', 1.0: '1. Not much interested', 2.0: '2. Somewhat interested', 3.0: '3. Very much interested', 9.0: '9. DK'}
care_partyWinPre  {0.0: '0. NA; no Pre IW', 1.0: "1. Don't care very much or DK, pro-con, depends, and", 2.0: '2. Care a good deal'}
care_partyWinCong  {0.0: '0. NA; no Post IW', 1.0: '1. Not very much, not at all, DK, pro-con, depends, other', 2.0: '2. Very much, pretty much'}
interest_pubAffair  {0.0: '0. NA; no Post IW; form III,IV (1972); abbrev', 1.0: '1. Hardly at all (1960,1962: not much at all)', 2.0: '2. Only now and then', 3.0: '3. Some of the time (1960,1962: fairly closely)', 4.0: '4. Most of the time (1960,1962: very closely)', 9.0: '9. DK'}
VCF0314  {0.0: '0. Zero positive mentions (likes)', 1.0: '1. One positive mention (likes)', 2.0: '2. Two positive mentions (likes)', 3.0: '3. Three positive mentions (likes)', 4.0: '4. Four positive mentions (likes)', 5.0: '5. Five positive mentions (likes)', 9.0: '9. No Pre IW; form II (1972); form B (1986); form A'}
VCF0315  {0.0: '0. Zero negative mentions (dislikes)', 1.0: '1. One negative mention (dislikes)', 2.0: '2. Two negative mentions (dislikes)', 3.0: '3. Three negative mentions (dislikes)', 4.0: '4. Four negative mentions (dislikes)', 5.0: '5. Five negative mentions (dislikes)', 9.0: '9. No Pre IW; form II (1972); form B (1986); form A'}
affect_Dem  {-5.0: '-5. Maximum negative', 0.0: '0. Neutral', 5.0: '+5. Maximum positive', 99.0: '99. No Pre IW; form II (1972); form B (1986); form A'}
salience_Dem  {0.0: '0. Zero mentions', 10.0: '10. Ten mentions', 99.0: '99. No Pre IW; form II (1972); form B (1986); form A'}
VCF0318  {0.0: '0. Zero positive mentions (likes)', 1.0: '1. One positive mention (likes)', 2.0: '2. Two positive mentions (likes)', 3.0: '3. Three positive mentions (likes)', 4.0: '4. Four positive mentions (likes)', 5.0: '5. Five positive mentions (likes)', 9.0: '9. No Pre IW; form II (1972); form B (1986); form A'}
VCF0319  {0.0: '0. Zero negative mentions (dislikes)', 1.0: '1. One negative mention (dislikes)', 2.0: '2. Two negative mentions (dislikes)', 3.0: '3. Three negative mentions (dislikes)', 4.0: '4. Four negative mentions (dislikes)', 5.0: '5. Five negative mentions (dislikes)', 9.0: '9. No Pre IW; form II (1972); form B (1986); form A'}
affect_Rep  {-5.0: '-5. Maximum negative', 0.0: '0. Neutral', 5.0: '+5. Maximum positive', 99.0: '99. No Pre IW; form II (1972); form B (1986); form A'}
salience_Rep  {0.0: '0. Zero mentions', 10.0: '10. Ten mentions', 99.0: '99. No Pre IW; form II (1972); form B (1986); form A'}
affect_majorParties  {-10.0: '-10. Maximum Republican', 0.0: '0. Neutral', 10.0: '+10. Maximum Democrat', 999.0: '999. No Pre IW; form II (1972); form B (1986); form A'}
salience_majorParties  {0.0: '0. Zero mentions', 20.0: '20. Twenty mentions', 99.0: '99. No Pre IW; form II (1972); form B (1986); form A'}
relative_salience_majorParties  {-10.0: '-10. Ten Republican mentions, no Democratic', 0.0: '0. No mentions', 10.0: '+10. Ten Democratic mentions, no Republican', 999.0: '999. No Pre IW; form II (1972); form B (1986); form A'}
VCF0338  {0.0: '0. Form B (1986); R selected for Post', 1.0: '1. Extremely well', 2.0: '2. Quite well', 3.0: '3. Not too well', 4.0: '4. Not well at all', 8.0: '8. DK', 9.0: '9. NA'}
VCF0339  {0.0: '0. Form B (1986)', 1.0: '1. Extremely well', 2.0: '2. Quite well', 3.0: '3. Not too well', 4.0: '4. Not well at all', 8.0: '8. DK', 9.0: '9. NA'}
VCF0340  {0.0: '0. Form B (1986)', 1.0: '1. Extremely well', 2.0: '2. Quite well', 3.0: '3. Not too well', 4.0: '4. Not well at all', 8.0: '8. DK', 9.0: '9. NA'}
VCF0341  {0.0: '0. Form B (1986)', 1.0: '1. Extremely well', 2.0: '2. Quite well', 3.0: '3. Not too well', 4.0: '4. Not well at all', 8.0: '8. DK', 9.0: '9. NA'}
VCF0342  {0.0: '0. Form B (1986); R selected for Post', 1.0: '1. Extremely well', 2.0: '2. Quite well', 3.0: '3. Not too well', 4.0: '4. Not well at all', 8.0: '8. DK', 9.0: '9. NA'}
VCF0343  {0.0: '0. Form B (1986); R selected for Post', 1.0: '1. Extremely well', 2.0: '2. Quite well', 3.0: '3. Not too well', 4.0: '4. Not well at all', 8.0: '8. DK', 9.0: '9. NA'}
VCF0344  {0.0: '0. Form B (1986); R selected for Post', 1.0: '1. Extremely well', 2.0: '2. Quite well', 3.0: '3. Not too well', 4.0: '4. Not well at all', 8.0: '8. DK', 9.0: '9. NA'}
VCF0345  {0.0: '0. Form B (1986); R selected for Post', 1.0: '1. Extremely well', 2.0: '2. Quite well', 3.0: '3. Not too well', 4.0: '4. Not well at all', 8.0: '8. DK', 9.0: '9. NA'}
VCF0346  {0.0: '0. Form B (1986); no Post IW; R selected for Post', 1.0: '1. Yes, have felt', 2.0: "2. No, haven't felt (1980,1982 only: DK)", 8.0: '8. DK (exc. 1980-1984)', 9.0: '9. NA (1984 only: DK)'}
VCF0347  {0.0: '0. Form B (1986); no Post IW; R selected for Post', 1.0: '1. Yes, have felt', 2.0: "2. No, haven't felt (1980,1982 only: DK)", 8.0: '8. DK (exc. 1980-1984)', 9.0: '9. NA (1984 only: DK)'}
VCF0348  {0.0: '0. Form B (1986); no Post IW; R selected for Post', 1.0: '1. Yes, have felt', 2.0: "2. No, haven't felt (1980,1982 only: DK)", 8.0: '8. DK (exc. 1980-1984)', 9.0: '9. NA (1984 only: DK)'}
VCF0349  {0.0: '0. Form B (1986); no Post IW; R selected for Post', 1.0: '1. Yes, have felt', 2.0: "2. No, haven't felt (1980,1982 only: DK)", 8.0: '8. DK (exc. 1980-1984)', 9.0: '9. NA (1984 only: DK)'}
VCF0350  {1.0: '1. Extremely well', 2.0: '2. Quite well', 3.0: '3. Not too well', 4.0: '4. Not well at all', 8.0: '8. DK', 9.0: '9. NA'}
VCF0351  {1.0: '1. Extremely well', 2.0: '2. Quite well', 3.0: '3. Not too well', 4.0: '4. Not well at all', 8.0: '8. DK', 9.0: '9. NA'}
VCF0352  {1.0: '1. Extremely well', 2.0: '2. Quite well', 3.0: '3. Not too well', 4.0: '4. Not well at all', 8.0: '8. DK', 9.0: '9. NA'}
VCF0353  {1.0: '1. Extremely well', 2.0: '2. Quite well', 3.0: '3. Not too well', 4.0: '4. Not well at all', 8.0: '8. DK', 9.0: '9. NA'}
VCF0354  {1.0: '1. Extremely well', 2.0: '2. Quite well', 3.0: '3. Not too well', 4.0: '4. Not well at all', 8.0: '8. DK', 9.0: '9. NA'}
VCF0355  {1.0: '1. Extremely well', 2.0: '2. Quite well', 3.0: '3. Not too well', 4.0: '4. Not well at all', 8.0: '8. DK', 9.0: '9. NA'}
VCF0356  {1.0: '1. Extremely well', 2.0: '2. Quite well', 3.0: '3. Not too well', 4.0: '4. Not well at all', 8.0: '8. DK', 9.0: '9. NA'}
VCF0357  {1.0: '1. Extremely well', 2.0: '2. Quite well', 3.0: '3. Not too well', 4.0: '4. Not well at all', 8.0: '8. DK', 9.0: '9. NA'}
VCF0358  {1.0: '1. Yes, have felt', 2.0: "2. No, haven't felt (1980 only: DK)", 8.0: '8. DK (exc. 1980,1984)', 9.0: '9. NA (1984 only: DK)'}
VCF0359  {1.0: '1. Yes, have felt', 2.0: "2. No, haven't felt (1980 only: DK)", 8.0: '8. DK (exc. 1980,1984)', 9.0: '9. NA (1984 only: DK)'}
VCF0360  {1.0: '1. Yes, have felt', 2.0: "2. No, haven't felt (1980 only: DK)", 8.0: '8. DK (exc. 1980,1984)', 9.0: '9. NA (1984 only: DK)'}
VCF0361  {1.0: '1. Yes, have felt', 2.0: "2. No, haven't felt (1980 only: DK)", 8.0: '8. DK (exc. 1980,1984)', 9.0: '9. NA (1984 only: DK)'}
VCF0362  {1.0: '1. Extremely well', 2.0: '2. Quite well', 3.0: '3. Not too well', 4.0: '4. Not well at all', 8.0: '8. DK', 9.0: '9. NA'}
VCF0363  {1.0: '1. Extremely well', 2.0: '2. Quite well', 3.0: '3. Not too well', 4.0: '4. Not well at all', 8.0: '8. DK', 9.0: '9. NA'}
VCF0364  {1.0: '1. Extremely well', 2.0: '2. Quite well', 3.0: '3. Not too well', 4.0: '4. Not well at all', 8.0: '8. DK', 9.0: '9. NA'}
VCF0365  {1.0: '1. Extremely well', 2.0: '2. Quite well', 3.0: '3. Not too well', 4.0: '4. Not well at all', 8.0: '8. DK', 9.0: '9. NA'}
